Multiplier_Sub_Module	Multiplicant	-	-	pi	\Multiplicant
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$338	sky130_fd_sc_hd__nand3_1	Y	out	$abc$320$new_n30
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$339	sky130_fd_sc_hd__nand4_1	A	in	\Negation
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$339	sky130_fd_sc_hd__nand4_1	B	in	\Shift
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$339	sky130_fd_sc_hd__nand4_1	C	in	$abc$320$new_n20
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$339	sky130_fd_sc_hd__nand4_1	D	in	$abc$320$new_n21
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$339	sky130_fd_sc_hd__nand4_1	Y	out	$abc$320$new_n31
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$340	sky130_fd_sc_hd__a22oi_1	A1	in	\Multiplicant [3]
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$340	sky130_fd_sc_hd__a22oi_1	A2	in	$abc$320$new_n15
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$340	sky130_fd_sc_hd__a22oi_1	B1	in	$abc$320$new_n25
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$340	sky130_fd_sc_hd__a22oi_1	B2	in	\Multiplicant [2]
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$340	sky130_fd_sc_hd__a22oi_1	Y	out	$abc$320$new_n32
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$341	sky130_fd_sc_hd__a31oi_1	A1	in	$abc$320$new_n30
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$341	sky130_fd_sc_hd__a31oi_1	A2	in	$abc$320$new_n31
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$341	sky130_fd_sc_hd__a31oi_1	A3	in	$abc$320$new_n32
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$341	sky130_fd_sc_hd__a31oi_1	B1	in	\Zero
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$341	sky130_fd_sc_hd__a31oi_1	Y	out	$abc$320$Result[3]
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$342	sky130_fd_sc_hd__nand4_1	A	in	\Negation
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$342	sky130_fd_sc_hd__nand4_1	B	in	\Shift
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$342	sky130_fd_sc_hd__nand4_1	C	in	\Multiplicant [3]
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$342	sky130_fd_sc_hd__nand4_1	D	in	$abc$320$new_n20
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$342	sky130_fd_sc_hd__nand4_1	Y	out	$abc$320$new_n34
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$343	sky130_fd_sc_hd__nor2_1	A	in	\Negation
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$343	sky130_fd_sc_hd__nor2_1	B	in	\Multiplicant [3]
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$343	sky130_fd_sc_hd__nor2_1	Y	out	$abc$320$new_n35
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$344	sky130_fd_sc_hd__nor3_1	A	in	\Zero
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$344	sky130_fd_sc_hd__nor3_1	B	in	$abc$320$new_n15
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$344	sky130_fd_sc_hd__nor3_1	C	in	$abc$320$new_n35
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$344	sky130_fd_sc_hd__nor3_1	Y	out	$abc$320$new_n36
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$345	sky130_fd_sc_hd__and3_1	A	in	$abc$320$new_n28
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$345	sky130_fd_sc_hd__and3_1	B	in	$abc$320$new_n34
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$345	sky130_fd_sc_hd__and3_1	C	in	$abc$320$new_n36
Multiplier_Sub_Module	$abc$320$auto$blifparse.cc:396:parse_blif$345	sky130_fd_sc_hd__and3_1	X	out	$abc$320$Result[4]
